,State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years),Political Party Governing
864,Kentucky,KY,9th > 12th Grade,2016,5810,55449,23.8,R
865,Kentucky,KY,> 8th Grade,2016,1882,55449,28.4,R
866,Kentucky,KY,Associate Degree,2016,4964,55449,28.95,R
867,Kentucky,KY,Bahcelor's Degree,2016,8549,55449,30.3,R
868,Kentucky,KY,Doctorate,2016,1217,55449,32.85,R
869,Kentucky,KY,High School Grad,2016,15424,55449,24.9,R
870,Kentucky,KY,Master's Degree,2016,4290,55449,31.85,R
871,Kentucky,KY,Some College Credit,2016,13040,55449,26.7,R
872,Kentucky,KY,Unknown,2016,273,55449,27.75,R
873,Kentucky,KY,9th > 12th Grade,2017,5643,54752,23.85,R
874,Kentucky,KY,> 8th Grade,2017,1796,54752,29.0,R
875,Kentucky,KY,Associate Degree,2017,5028,54752,28.95,R
876,Kentucky,KY,Bahcelor's Degree,2017,8371,54752,30.4,R
877,Kentucky,KY,Doctorate,2017,1120,54752,32.7,R
878,Kentucky,KY,High School Grad,2017,15683,54752,25.0,R
879,Kentucky,KY,Master's Degree,2017,4370,54752,31.85,R
880,Kentucky,KY,Some College Credit,2017,12493,54752,26.75,R
881,Kentucky,KY,Unknown,2017,248,54752,28.4,R
882,Kentucky,KY,9th > 12th Grade,2018,5238,53922,24.0,R
883,Kentucky,KY,> 8th Grade,2018,1859,53922,28.85,R
884,Kentucky,KY,Associate Degree,2018,4928,53922,28.95,R
885,Kentucky,KY,Bahcelor's Degree,2018,8173,53922,30.45,R
886,Kentucky,KY,Doctorate,2018,1141,53922,32.95,R
887,Kentucky,KY,High School Grad,2018,15922,53922,25.2,R
888,Kentucky,KY,Master's Degree,2018,4293,53922,31.85,R
889,Kentucky,KY,Some College Credit,2018,12130,53922,27.0,R
890,Kentucky,KY,Unknown,2018,238,53922,27.9,R
891,Kentucky,KY,9th > 12th Grade,2019,4971,53069,24.25,R
892,Kentucky,KY,> 8th Grade,2019,1880,53069,29.0,R
893,Kentucky,KY,Associate Degree,2019,4864,53069,29.1,R
894,Kentucky,KY,Bahcelor's Degree,2019,8226,53069,30.4,R
895,Kentucky,KY,Doctorate,2019,1094,53069,32.8,R
896,Kentucky,KY,High School Grad,2019,15908,53069,25.3,R
897,Kentucky,KY,Master's Degree,2019,4133,53069,31.95,R
898,Kentucky,KY,Some College Credit,2019,11703,53069,27.1,R
899,Kentucky,KY,Unknown,2019,290,53069,28.9,R
900,Kentucky,KY,9th > 12th Grade,2020,4650,51668,24.5,D
901,Kentucky,KY,> 8th Grade,2020,1912,51668,29.05,D
902,Kentucky,KY,Associate Degree,2020,4618,51668,29.2,D
903,Kentucky,KY,Bahcelor's Degree,2020,8044,51668,30.4,D
904,Kentucky,KY,Doctorate,2020,1110,51668,33.05,D
905,Kentucky,KY,High School Grad,2020,16102,51668,25.3,D
906,Kentucky,KY,Master's Degree,2020,4210,51668,32.1,D
907,Kentucky,KY,Some College Credit,2020,10783,51668,27.3,D
908,Kentucky,KY,Unknown,2020,239,51668,28.2,D
909,Kentucky,KY,9th > 12th Grade,2021,4400,52214,24.35,D
910,Kentucky,KY,> 8th Grade,2021,2078,52214,29.15,D
911,Kentucky,KY,Associate Degree,2021,4683,52214,29.15,D
912,Kentucky,KY,Bahcelor's Degree,2021,8683,52214,30.4,D
913,Kentucky,KY,Doctorate,2021,1180,52214,33.1,D
914,Kentucky,KY,High School Grad,2021,16117,52214,25.55,D
915,Kentucky,KY,Master's Degree,2021,4294,52214,31.95,D
916,Kentucky,KY,Some College Credit,2021,10531,52214,27.4,D
917,Kentucky,KY,Unknown,2021,248,52214,28.3,D
918,Louisiana,LA,9th > 12th Grade,2016,8100,63178,24.25,D
919,Louisiana,LA,> 8th Grade,2016,1775,63178,26.4,D
920,Louisiana,LA,Associate Degree,2016,4363,63178,29.15,D
921,Louisiana,LA,Bahcelor's Degree,2016,10422,63178,30.4,D
922,Louisiana,LA,Doctorate,2016,1172,63178,33.0,D
923,Louisiana,LA,High School Grad,2016,19923,63178,25.75,D
924,Louisiana,LA,Master's Degree,2016,3449,63178,32.0,D
925,Louisiana,LA,Some College Credit,2016,13675,63178,26.95,D
926,Louisiana,LA,Unknown,2016,299,63178,28.1,D
927,Louisiana,LA,9th > 12th Grade,2017,7538,61018,24.35,D
928,Louisiana,LA,> 8th Grade,2017,1648,61018,27.1,D
929,Louisiana,LA,Associate Degree,2017,4531,61018,29.15,D
930,Louisiana,LA,Bahcelor's Degree,2017,9881,61018,30.45,D
931,Louisiana,LA,Doctorate,2017,1172,61018,33.15,D
932,Louisiana,LA,High School Grad,2017,19503,61018,25.8,D
933,Louisiana,LA,Master's Degree,2017,3453,61018,32.0,D
934,Louisiana,LA,Some College Credit,2017,12872,61018,27.1,D
935,Louisiana,LA,Unknown,2017,420,61018,28.85,D
936,Louisiana,LA,9th > 12th Grade,2018,7147,59615,24.7,D
937,Louisiana,LA,> 8th Grade,2018,1635,59615,27.2,D
938,Louisiana,LA,Associate Degree,2018,4582,59615,29.25,D
939,Louisiana,LA,Bahcelor's Degree,2018,9747,59615,30.65,D
940,Louisiana,LA,Doctorate,2018,1196,59615,33.25,D
941,Louisiana,LA,High School Grad,2018,19315,59615,25.85,D
942,Louisiana,LA,Master's Degree,2018,3407,59615,32.2,D
943,Louisiana,LA,Some College Credit,2018,12217,59615,27.2,D
944,Louisiana,LA,Unknown,2018,369,59615,28.45,D
945,Louisiana,LA,9th > 12th Grade,2019,6694,58941,24.6,D
946,Louisiana,LA,> 8th Grade,2019,1655,58941,27.45,D
947,Louisiana,LA,Associate Degree,2019,4511,58941,29.45,D
948,Louisiana,LA,Bahcelor's Degree,2019,9556,58941,30.7,D
949,Louisiana,LA,Doctorate,2019,1186,58941,33.35,D
950,Louisiana,LA,High School Grad,2019,19859,58941,26.05,D
951,Louisiana,LA,Master's Degree,2019,3567,58941,32.3,D
952,Louisiana,LA,Some College Credit,2019,11550,58941,27.35,D
953,Louisiana,LA,Unknown,2019,363,58941,27.7,D
954,Louisiana,LA,9th > 12th Grade,2020,6196,57328,24.7,D
955,Louisiana,LA,> 8th Grade,2020,1616,57328,27.75,D
956,Louisiana,LA,Associate Degree,2020,4413,57328,29.55,D
957,Louisiana,LA,Bahcelor's Degree,2020,9416,57328,30.7,D
958,Louisiana,LA,Doctorate,2020,1207,57328,33.6,D
959,Louisiana,LA,High School Grad,2020,19770,57328,26.0,D
960,Louisiana,LA,Master's Degree,2020,3560,57328,32.4,D
961,Louisiana,LA,Some College Credit,2020,10878,57328,27.55,D
962,Louisiana,LA,Unknown,2020,272,57328,29.05,D
963,Louisiana,LA,9th > 12th Grade,2021,6063,57437,24.7,D
964,Louisiana,LA,> 8th Grade,2021,1550,57437,27.65,D
965,Louisiana,LA,Associate Degree,2021,4578,57437,29.65,D
966,Louisiana,LA,Bahcelor's Degree,2021,9591,57437,30.8,D
967,Louisiana,LA,Doctorate,2021,1252,57437,33.45,D
968,Louisiana,LA,High School Grad,2021,19762,57437,26.2,D
969,Louisiana,LA,Master's Degree,2021,3678,57437,32.35,D
970,Louisiana,LA,Some College Credit,2021,10654,57437,27.7,D
971,Louisiana,LA,Unknown,2021,309,57437,28.0,D
972,Maine,ME,9th > 12th Grade,2016,676,12698,23.8,R
973,Maine,ME,> 8th Grade,2016,162,12698,29.7,R
974,Maine,ME,Associate Degree,2016,1245,12698,29.65,R
975,Maine,ME,Bahcelor's Degree,2016,2818,12698,31.1,R
976,Maine,ME,Doctorate,2016,379,12698,33.3,R
977,Maine,ME,High School Grad,2016,3531,12698,26.2,R
978,Maine,ME,Master's Degree,2016,1243,12698,32.75,R
979,Maine,ME,Some College Credit,2016,2628,12698,27.65,R
980,Maine,ME,Unknown,2016,16,12698,34.1,R
981,Maine,ME,9th > 12th Grade,2017,664,12289,24.1,R
982,Maine,ME,> 8th Grade,2017,204,12289,30.9,R
983,Maine,ME,Associate Degree,2017,1204,12289,29.7,R
984,Maine,ME,Bahcelor's Degree,2017,2777,12289,31.25,R
985,Maine,ME,Doctorate,2017,359,12289,33.45,R
986,Maine,ME,High School Grad,2017,3329,12289,26.5,R
987,Maine,ME,Master's Degree,2017,1180,12289,32.8,R
988,Maine,ME,Some College Credit,2017,2560,12289,27.75,R
989,Maine,ME,Unknown,2017,12,12289,33.2,R
990,Maine,ME,9th > 12th Grade,2018,628,12306,24.05,R
991,Maine,ME,> 8th Grade,2018,191,12306,30.25,R
992,Maine,ME,Associate Degree,2018,1186,12306,29.7,R
993,Maine,ME,Bahcelor's Degree,2018,2799,12306,31.35,R
994,Maine,ME,Doctorate,2018,368,12306,33.65,R
995,Maine,ME,High School Grad,2018,3303,12306,26.7,R
996,Maine,ME,Master's Degree,2018,1155,12306,32.95,R
997,Maine,ME,Some College Credit,2018,2663,12306,28.3,R
998,Maine,ME,Unknown,2018,13,12306,31.2,R
999,Maine,ME,9th > 12th Grade,2019,630,11779,24.7,D
1000,Maine,ME,> 8th Grade,2019,162,11779,30.0,D
1001,Maine,ME,Associate Degree,2019,1114,11779,29.9,D
1002,Maine,ME,Bahcelor's Degree,2019,2763,11779,31.5,D
1003,Maine,ME,Doctorate,2019,387,11779,33.9,D
1004,Maine,ME,High School Grad,2019,2920,11779,27.0,D
1005,Maine,ME,Master's Degree,2019,1209,11779,33.15,D
1006,Maine,ME,Some College Credit,2019,2563,11779,28.3,D
1007,Maine,ME,Unknown,2019,31,11779,30.1,D
1008,Maine,ME,9th > 12th Grade,2020,628,11539,24.65,D
1009,Maine,ME,> 8th Grade,2020,167,11539,30.2,D
1010,Maine,ME,Associate Degree,2020,982,11539,29.95,D
1011,Maine,ME,Bahcelor's Degree,2020,2750,11539,31.6,D
1012,Maine,ME,Doctorate,2020,366,11539,33.95,D
1013,Maine,ME,High School Grad,2020,2892,11539,26.8,D
1014,Maine,ME,Master's Degree,2020,1241,11539,33.25,D
1015,Maine,ME,Some College Credit,2020,2446,11539,28.7,D
1016,Maine,ME,Unknown,2020,67,11539,32.2,D
1017,Maine,ME,9th > 12th Grade,2021,603,12006,24.55,D
1018,Maine,ME,> 8th Grade,2021,194,12006,29.65,D
1019,Maine,ME,Associate Degree,2021,1094,12006,30.05,D
1020,Maine,ME,Bahcelor's Degree,2021,3094,12006,31.6,D
1021,Maine,ME,Doctorate,2021,421,12006,33.9,D
1022,Maine,ME,High School Grad,2021,2855,12006,27.25,D
1023,Maine,ME,Master's Degree,2021,1326,12006,33.05,D
1024,Maine,ME,Some College Credit,2021,2377,12006,28.95,D
1025,Maine,ME,Unknown,2021,42,12006,31.95,D
1026,Maryland,MD,9th > 12th Grade,2016,6219,73136,25.7,R
1027,Maryland,MD,> 8th Grade,2016,3113,73136,29.6,R
1028,Maryland,MD,Associate Degree,2016,4703,73136,30.55,R
1029,Maryland,MD,Bahcelor's Degree,2016,15757,73136,31.65,R
1030,Maryland,MD,Doctorate,2016,3278,73136,34.35,R
1031,Maryland,MD,High School Grad,2016,14657,73136,26.8,R
1032,Maryland,MD,Master's Degree,2016,10590,73136,33.1,R
1033,Maryland,MD,Some College Credit,2016,14412,73136,28.4,R
1034,Maryland,MD,Unknown,2016,407,73136,30.2,R
1035,Maryland,MD,9th > 12th Grade,2017,5801,71641,26.05,R
1036,Maryland,MD,> 8th Grade,2017,3065,71641,29.8,R
1037,Maryland,MD,Associate Degree,2017,4733,71641,30.6,R
1038,Maryland,MD,Bahcelor's Degree,2017,15527,71641,31.7,R
1039,Maryland,MD,Doctorate,2017,3243,71641,34.5,R
1040,Maryland,MD,High School Grad,2017,14434,71641,27.05,R
1041,Maryland,MD,Master's Degree,2017,10505,71641,33.25,R
1042,Maryland,MD,Some College Credit,2017,13924,71641,28.5,R
1043,Maryland,MD,Unknown,2017,409,71641,29.85,R
1044,Maryland,MD,9th > 12th Grade,2018,5802,71080,26.0,R
1045,Maryland,MD,> 8th Grade,2018,3131,71080,30.15,R
1046,Maryland,MD,Associate Degree,2018,4567,71080,30.8,R
1047,Maryland,MD,Bahcelor's Degree,2018,15476,71080,31.8,R
1048,Maryland,MD,Doctorate,2018,3202,71080,34.65,R
1049,Maryland,MD,High School Grad,2018,14188,71080,27.2,R
1050,Maryland,MD,Master's Degree,2018,10653,71080,33.3,R
1051,Maryland,MD,Some College Credit,2018,13647,71080,28.7,R
1052,Maryland,MD,Unknown,2018,414,71080,29.55,R
1053,Maryland,MD,9th > 12th Grade,2019,5778,70178,26.15,R
1054,Maryland,MD,> 8th Grade,2019,3293,70178,29.65,R
1055,Maryland,MD,Associate Degree,2019,4543,70178,30.65,R
1056,Maryland,MD,Bahcelor's Degree,2019,15072,70178,31.85,R
1057,Maryland,MD,Doctorate,2019,3103,70178,34.65,R
1058,Maryland,MD,High School Grad,2019,14337,70178,27.4,R
1059,Maryland,MD,Master's Degree,2019,10592,70178,33.4,R
1060,Maryland,MD,Some College Credit,2019,13009,70178,28.95,R
1061,Maryland,MD,Unknown,2019,451,70178,30.05,R
1062,Maryland,MD,9th > 12th Grade,2020,5417,68554,26.05,R
1063,Maryland,MD,> 8th Grade,2020,3176,68554,30.1,R
1064,Maryland,MD,Associate Degree,2020,4384,68554,31.05,R
1065,Maryland,MD,Bahcelor's Degree,2020,15020,68554,32.05,R
1066,Maryland,MD,Doctorate,2020,3137,68554,34.85,R
1067,Maryland,MD,High School Grad,2020,14194,68554,27.45,R
1068,Maryland,MD,Master's Degree,2020,10228,68554,33.45,R
1069,Maryland,MD,Some College Credit,2020,12633,68554,29.1,R
1070,Maryland,MD,Unknown,2020,365,68554,30.45,R
1071,Maryland,MD,9th > 12th Grade,2021,5195,68285,26.6,R
1072,Maryland,MD,> 8th Grade,2021,3086,68285,30.0,R
1073,Maryland,MD,Associate Degree,2021,4462,68285,31.0,R
1074,Maryland,MD,Bahcelor's Degree,2021,15194,68285,32.1,R
1075,Maryland,MD,Doctorate,2021,3275,68285,34.85,R
1076,Maryland,MD,High School Grad,2021,13779,68285,27.4,R
1077,Maryland,MD,Master's Degree,2021,10894,68285,33.65,R
1078,Maryland,MD,Some College Credit,2021,12001,68285,29.25,R
1079,Maryland,MD,Unknown,2021,399,68285,30.4,R
1080,Massachusetts,MA,9th > 12th Grade,2016,4615,71317,26.2,R
1081,Massachusetts,MA,> 8th Grade,2016,1651,71317,29.3,R
1082,Massachusetts,MA,Associate Degree,2016,4431,71317,31.1,R
1083,Massachusetts,MA,Bahcelor's Degree,2016,17537,71317,32.2,R
1084,Massachusetts,MA,Doctorate,2016,3988,71317,34.4,R
1085,Massachusetts,MA,High School Grad,2016,11189,71317,27.75,R
1086,Massachusetts,MA,Master's Degree,2016,12670,71317,33.25,R
1087,Massachusetts,MA,Some College Credit,2016,13241,71317,28.9,R
1088,Massachusetts,MA,Unknown,2016,1995,71317,31.3,R
1089,Massachusetts,MA,9th > 12th Grade,2017,4522,70702,26.45,R
1090,Massachusetts,MA,> 8th Grade,2017,1636,70702,29.8,R
1091,Massachusetts,MA,Associate Degree,2017,4355,70702,31.1,R
1092,Massachusetts,MA,Bahcelor's Degree,2017,17254,70702,32.3,R
1093,Massachusetts,MA,Doctorate,2017,3890,70702,34.4,R
1094,Massachusetts,MA,High School Grad,2017,11055,70702,27.75,R
1095,Massachusetts,MA,Master's Degree,2017,12419,70702,33.35,R
1096,Massachusetts,MA,Some College Credit,2017,12858,70702,29.05,R
1097,Massachusetts,MA,Unknown,2017,2713,70702,31.7,R
1098,Massachusetts,MA,9th > 12th Grade,2018,4157,69109,26.65,R
1099,Massachusetts,MA,> 8th Grade,2018,1488,69109,29.85,R
1100,Massachusetts,MA,Associate Degree,2018,4182,69109,31.25,R
1101,Massachusetts,MA,Bahcelor's Degree,2018,17385,69109,32.35,R
1102,Massachusetts,MA,Doctorate,2018,4068,69109,34.4,R
1103,Massachusetts,MA,High School Grad,2018,10954,69109,28.0,R
1104,Massachusetts,MA,Master's Degree,2018,12871,69109,33.4,R
1105,Massachusetts,MA,Some College Credit,2018,12377,69109,29.3,R
1106,Massachusetts,MA,Unknown,2018,1627,69109,31.5,R
1107,Massachusetts,MA,9th > 12th Grade,2019,4080,69117,26.9,R
1108,Massachusetts,MA,> 8th Grade,2019,1437,69117,30.1,R
1109,Massachusetts,MA,Associate Degree,2019,4252,69117,31.35,R
1110,Massachusetts,MA,Bahcelor's Degree,2019,17482,69117,32.45,R
1111,Massachusetts,MA,Doctorate,2019,4135,69117,34.5,R
1112,Massachusetts,MA,High School Grad,2019,10883,69117,28.05,R
1113,Massachusetts,MA,Master's Degree,2019,12947,69117,33.55,R
1114,Massachusetts,MA,Some College Credit,2019,12086,69117,29.5,R
1115,Massachusetts,MA,Unknown,2019,1815,69117,31.5,R
1116,Massachusetts,MA,9th > 12th Grade,2020,3799,66428,26.9,R
1117,Massachusetts,MA,> 8th Grade,2020,1361,66428,30.0,R
1118,Massachusetts,MA,Associate Degree,2020,3904,66428,31.55,R
1119,Massachusetts,MA,Bahcelor's Degree,2020,16994,66428,32.55,R
1120,Massachusetts,MA,Doctorate,2020,4013,66428,34.6,R
1121,Massachusetts,MA,High School Grad,2020,10978,66428,28.25,R
1122,Massachusetts,MA,Master's Degree,2020,12502,66428,33.65,R
1123,Massachusetts,MA,Some College Credit,2020,11169,66428,29.7,R
1124,Massachusetts,MA,Unknown,2020,1708,66428,31.75,R
1125,Massachusetts,MA,9th > 12th Grade,2021,3773,69137,27.3,R
1126,Massachusetts,MA,> 8th Grade,2021,1189,69137,30.1,R
1127,Massachusetts,MA,Associate Degree,2021,4089,69137,31.5,R
1128,Massachusetts,MA,Bahcelor's Degree,2021,18531,69137,32.65,R
1129,Massachusetts,MA,Doctorate,2021,4310,69137,34.75,R
1130,Massachusetts,MA,High School Grad,2021,10811,69137,28.1,R
1131,Massachusetts,MA,Master's Degree,2021,13762,69137,33.7,R
1132,Massachusetts,MA,Some College Credit,2021,11061,69137,29.95,R
1133,Massachusetts,MA,Unknown,2021,1611,69137,31.1,R
1134,Michigan,MI,9th > 12th Grade,2016,10583,113315,24.15,R
1135,Michigan,MI,> 8th Grade,2016,2241,113315,29.35,R
1136,Michigan,MI,Associate Degree,2016,9932,113315,29.85,R
1137,Michigan,MI,Bahcelor's Degree,2016,21964,113315,30.95,R
1138,Michigan,MI,Doctorate,2016,2705,113315,33.0,R
1139,Michigan,MI,High School Grad,2016,28259,113315,26.1,R
1140,Michigan,MI,Master's Degree,2016,9533,113315,32.5,R
1141,Michigan,MI,Some College Credit,2016,26973,113315,27.65,R
1142,Michigan,MI,Unknown,2016,1125,113315,28.0,R
1143,Michigan,MI,9th > 12th Grade,2017,10252,111426,24.35,R
1144,Michigan,MI,> 8th Grade,2017,2311,111426,29.65,R
1145,Michigan,MI,Associate Degree,2017,9518,111426,29.9,R
1146,Michigan,MI,Bahcelor's Degree,2017,22200,111426,31.0,R
1147,Michigan,MI,Doctorate,2017,2681,111426,33.2,R
1148,Michigan,MI,High School Grad,2017,28028,111426,26.25,R
1149,Michigan,MI,Master's Degree,2017,9433,111426,32.6,R
1150,Michigan,MI,Some College Credit,2017,25861,111426,27.9,R
1151,Michigan,MI,Unknown,2017,1142,111426,28.6,R
1152,Michigan,MI,9th > 12th Grade,2018,9624,110032,24.5,R
1153,Michigan,MI,> 8th Grade,2018,2244,110032,29.6,R
1154,Michigan,MI,Associate Degree,2018,9423,110032,29.95,R
1155,Michigan,MI,Bahcelor's Degree,2018,22410,110032,31.05,R
1156,Michigan,MI,Doctorate,2018,2836,110032,33.3,R
1157,Michigan,MI,High School Grad,2018,27793,110032,26.25,R
1158,Michigan,MI,Master's Degree,2018,9542,110032,32.6,R
1159,Michigan,MI,Some College Credit,2018,25100,110032,28.05,R
1160,Michigan,MI,Unknown,2018,1060,110032,28.4,R
1161,Michigan,MI,9th > 12th Grade,2019,9206,107886,24.65,D
1162,Michigan,MI,> 8th Grade,2019,2060,107886,29.8,D
1163,Michigan,MI,Associate Degree,2019,9055,107886,30.15,D
1164,Michigan,MI,Bahcelor's Degree,2019,22331,107886,31.15,D
1165,Michigan,MI,Doctorate,2019,2786,107886,33.35,D
1166,Michigan,MI,High School Grad,2019,27980,107886,26.4,D
1167,Michigan,MI,Master's Degree,2019,9665,107886,32.6,D
1168,Michigan,MI,Some College Credit,2019,23715,107886,28.25,D
1169,Michigan,MI,Unknown,2019,1088,107886,29.15,D
1170,Michigan,MI,9th > 12th Grade,2020,8546,104074,24.65,D
1171,Michigan,MI,> 8th Grade,2020,2139,104074,29.8,D
1172,Michigan,MI,Associate Degree,2020,8965,104074,30.25,D
1173,Michigan,MI,Bahcelor's Degree,2020,21237,104074,31.25,D
1174,Michigan,MI,Doctorate,2020,2759,104074,33.4,D
1175,Michigan,MI,High School Grad,2020,27691,104074,26.65,D
1176,Michigan,MI,Master's Degree,2020,9212,104074,32.55,D
1177,Michigan,MI,Some College Credit,2020,22733,104074,28.6,D
1178,Michigan,MI,Unknown,2020,792,104074,29.65,D
1179,Michigan,MI,9th > 12th Grade,2021,7956,104980,24.8,D
1180,Michigan,MI,> 8th Grade,2021,1946,104980,29.8,D
1181,Michigan,MI,Associate Degree,2021,9299,104980,30.35,D
1182,Michigan,MI,Bahcelor's Degree,2021,21980,104980,31.3,D
1183,Michigan,MI,Doctorate,2021,2986,104980,33.4,D
1184,Michigan,MI,High School Grad,2021,27780,104980,26.9,D
1185,Michigan,MI,Master's Degree,2021,9545,104980,32.75,D
1186,Michigan,MI,Some College Credit,2021,22583,104980,28.8,D
1187,Michigan,MI,Unknown,2021,905,104980,29.9,D
1188,Minnesota,MN,9th > 12th Grade,2016,4831,69749,25.55,D
1189,Minnesota,MN,> 8th Grade,2016,2412,69749,30.7,D
1190,Minnesota,MN,Associate Degree,2016,9096,69749,30.0,D
1191,Minnesota,MN,Bahcelor's Degree,2016,18737,69749,31.1,D
1192,Minnesota,MN,Doctorate,2016,2218,69749,33.2,D
1193,Minnesota,MN,High School Grad,2016,11557,69749,26.95,D
1194,Minnesota,MN,Master's Degree,2016,7207,69749,32.65,D
1195,Minnesota,MN,Some College Credit,2016,12707,69749,28.1,D
1196,Minnesota,MN,Unknown,2016,984,69749,30.5,D
1197,Minnesota,MN,9th > 12th Grade,2017,4816,68595,25.65,D
1198,Minnesota,MN,> 8th Grade,2017,2372,68595,30.8,D
1199,Minnesota,MN,Associate Degree,2017,8869,68595,30.15,D
1200,Minnesota,MN,Bahcelor's Degree,2017,18524,68595,31.2,D
1201,Minnesota,MN,Doctorate,2017,2332,68595,33.4,D
1202,Minnesota,MN,High School Grad,2017,11513,68595,27.1,D
1203,Minnesota,MN,Master's Degree,2017,7192,68595,32.7,D
1204,Minnesota,MN,Some College Credit,2017,12206,68595,28.35,D
1205,Minnesota,MN,Unknown,2017,771,68595,30.45,D
1206,Minnesota,MN,9th > 12th Grade,2018,4390,67344,25.8,D
1207,Minnesota,MN,> 8th Grade,2018,2353,67344,30.7,D
1208,Minnesota,MN,Associate Degree,2018,8500,67344,30.25,D
1209,Minnesota,MN,Bahcelor's Degree,2018,18724,67344,31.35,D
1210,Minnesota,MN,Doctorate,2018,2243,67344,33.55,D
1211,Minnesota,MN,High School Grad,2018,11329,67344,27.25,D
1212,Minnesota,MN,Master's Degree,2018,7144,67344,32.7,D
1213,Minnesota,MN,Some College Credit,2018,12272,67344,28.6,D
1214,Minnesota,MN,Unknown,2018,389,67344,31.05,D
1215,Minnesota,MN,9th > 12th Grade,2019,4505,66027,25.65,D
1216,Minnesota,MN,> 8th Grade,2019,2334,66027,31.15,D
1217,Minnesota,MN,Associate Degree,2019,8012,66027,30.4,D
1218,Minnesota,MN,Bahcelor's Degree,2019,18386,66027,31.4,D
1219,Minnesota,MN,Doctorate,2019,2336,66027,33.45,D
1220,Minnesota,MN,High School Grad,2019,11152,66027,27.45,D
1221,Minnesota,MN,Master's Degree,2019,7382,66027,32.85,D
1222,Minnesota,MN,Some College Credit,2019,11599,66027,28.8,D
1223,Minnesota,MN,Unknown,2019,321,66027,30.6,D
1224,Minnesota,MN,9th > 12th Grade,2020,4171,63443,25.95,D
1225,Minnesota,MN,> 8th Grade,2020,2186,63443,31.2,D
1226,Minnesota,MN,Associate Degree,2020,7476,63443,30.45,D
1227,Minnesota,MN,Bahcelor's Degree,2020,17904,63443,31.45,D
1228,Minnesota,MN,Doctorate,2020,2403,63443,33.6,D
1229,Minnesota,MN,High School Grad,2020,10793,63443,27.55,D
1230,Minnesota,MN,Master's Degree,2020,7040,63443,32.85,D
1231,Minnesota,MN,Some College Credit,2020,11166,63443,28.95,D
1232,Minnesota,MN,Unknown,2020,304,63443,30.55,D
1233,Minnesota,MN,9th > 12th Grade,2021,4025,64425,26.0,D
1234,Minnesota,MN,> 8th Grade,2021,1995,64425,31.2,D
1235,Minnesota,MN,Associate Degree,2021,7625,64425,30.6,D
1236,Minnesota,MN,Bahcelor's Degree,2021,19036,64425,31.5,D
1237,Minnesota,MN,Doctorate,2021,2464,64425,33.6,D
1238,Minnesota,MN,High School Grad,2021,10620,64425,27.65,D
1239,Minnesota,MN,Master's Degree,2021,7634,64425,32.9,D
1240,Minnesota,MN,Some College Credit,2021,10696,64425,29.1,D
1241,Minnesota,MN,Unknown,2021,330,64425,31.0,D
1242,Mississippi,MS,9th > 12th Grade,2016,4455,37928,23.25,R
1243,Mississippi,MS,> 8th Grade,2016,858,37928,26.25,R
1244,Mississippi,MS,Associate Degree,2016,4644,37928,28.15,R
1245,Mississippi,MS,Bahcelor's Degree,2016,5174,37928,29.95,R
1246,Mississippi,MS,Doctorate,2016,576,37928,32.7,R
1247,Mississippi,MS,High School Grad,2016,10724,37928,25.0,R
1248,Mississippi,MS,Master's Degree,2016,2146,37928,31.7,R
1249,Mississippi,MS,Some College Credit,2016,9280,37928,26.0,R
1250,Mississippi,MS,Unknown,2016,71,37928,27.35,R
1251,Mississippi,MS,9th > 12th Grade,2017,4209,37357,23.55,R
1252,Mississippi,MS,> 8th Grade,2017,792,37357,26.6,R
1253,Mississippi,MS,Associate Degree,2017,4792,37357,28.0,R
1254,Mississippi,MS,Bahcelor's Degree,2017,5092,37357,30.0,R
1255,Mississippi,MS,Doctorate,2017,631,37357,32.75,R
1256,Mississippi,MS,High School Grad,2017,10687,37357,25.1,R
1257,Mississippi,MS,Master's Degree,2017,2079,37357,31.65,R
1258,Mississippi,MS,Some College Credit,2017,9007,37357,26.2,R
1259,Mississippi,MS,Unknown,2017,68,37357,26.85,R
1260,Mississippi,MS,9th > 12th Grade,2018,3901,37000,23.8,R
1261,Mississippi,MS,> 8th Grade,2018,770,37000,26.75,R
1262,Mississippi,MS,Associate Degree,2018,4741,37000,28.15,R
1263,Mississippi,MS,Bahcelor's Degree,2018,5080,37000,30.05,R
1264,Mississippi,MS,Doctorate,2018,580,37000,32.95,R
1265,Mississippi,MS,High School Grad,2018,10859,37000,25.15,R
1266,Mississippi,MS,Master's Degree,2018,2177,37000,31.9,R
1267,Mississippi,MS,Some College Credit,2018,8795,37000,26.4,R
1268,Mississippi,MS,Unknown,2018,97,37000,26.1,R
1269,Mississippi,MS,9th > 12th Grade,2019,3820,36636,23.8,R
1270,Mississippi,MS,> 8th Grade,2019,745,36636,26.95,R
1271,Mississippi,MS,Associate Degree,2019,4876,36636,28.05,R
1272,Mississippi,MS,Bahcelor's Degree,2019,5020,36636,29.95,R
1273,Mississippi,MS,Doctorate,2019,628,36636,32.65,R
1274,Mississippi,MS,High School Grad,2019,10906,36636,25.25,R
1275,Mississippi,MS,Master's Degree,2019,2148,36636,31.95,R
1276,Mississippi,MS,Some College Credit,2019,8393,36636,26.6,R
1277,Mississippi,MS,Unknown,2019,100,36636,27.75,R
1278,Mississippi,MS,9th > 12th Grade,2020,3468,35473,23.75,R
